Average_Current,Max_Current,Min_Current,Label
1.1084000000000005,1.16,1.06,Fridge
1.1062000000000003,1.16,1.06,Fridge
1.1070000000000002,1.16,1.06,Fridge
1.1048000000000002,1.17,1.06,Fridge
1.1068000000000002,1.16,1.05,Fridge
1.1062000000000003,1.16,1.06,Fridge
1.1052,1.16,1.06,Fridge
1.1064,1.16,1.07,Fridge
1.1064000000000005,1.15,1.06,Fridge
1.1078,1.16,1.06,Fridge
1.1066,1.16,1.06,Fridge
1.1064,1.16,1.06,Fridge
1.1054000000000002,1.15,1.06,Fridge
1.1065999999999998,1.16,1.06,Fridge
1.107,1.16,1.06,Fridge
1.1052,1.15,1.05,Fridge
1.1066,1.16,1.05,Fridge
1.1034,1.16,1.05,Fridge
1.1066,1.16,1.06,Fridge
1.1066,1.16,1.06,Fridge
1.1054000000000004,1.15,1.06,Fridge
1.1050000000000002,1.15,1.06,Fridge
1.1052000000000002,1.15,1.06,Fridge
1.1044000000000005,1.15,1.05,Fridge
1.1054000000000002,1.15,1.06,Fridge
1.1038,1.16,1.05,Fridge
1.1068,1.15,1.06,Fridge
1.1058000000000003,1.15,1.06,Fridge
1.1026000000000002,1.15,1.05,Fridge
1.104,1.15,1.05,Fridge
1.1054000000000002,1.15,1.07,Fridge
1.1048,1.16,1.06,Fridge
1.1046000000000005,1.16,1.06,Fridge
1.105,1.16,1.06,Fridge
1.1052000000000002,1.16,1.06,Fridge
1.1038,1.15,1.05,Fridge
1.1046,1.16,1.05,Fridge
1.1042,1.16,1.05,Fridge
1.1056,1.16,1.06,Fridge
1.1034000000000004,1.15,1.06,Fridge
1.1063999999999998,1.15,1.06,Fridge
1.1028000000000002,1.15,1.05,Fridge
1.1030000000000004,1.15,1.06,Fridge
1.1058,1.16,1.06,Fridge
1.1044,1.15,1.06,Fridge
1.1038,1.15,1.05,Fridge
1.1034,1.15,1.06,Fridge
1.104,1.15,1.06,Fridge
1.1038000000000003,1.15,1.06,Fridge
1.1052000000000004,1.15,1.06,Fridge
