Average_Current,Max_Current,Min_Current,Median_Current,StDeviation_Current,Coffee Machine,Electric Kettle,Fridge
6.500666667,6.61,6.39,6.5,0.085144135,1,0,0
6.506,6.63,6.38,6.49,0.091479896,1,0,0
6.509333333,6.66,6.38,6.51,0.091297525,1,0,0
6.506,6.64,6.38,6.55,0.087488775,1,0,0
6.498,6.58,6.38,6.54,0.070224131,1,0,0
6.508,6.82,6.39,6.5,0.113338935,1,0,0
6.492,6.64,6.38,6.48,0.087928542,1,0,0
6.502666667,6.63,6.38,6.49,0.091609939,1,0,0
6.499333333,6.61,6.39,6.51,0.072944858,1,0,0
6.478666667,6.62,6.39,6.47,0.06479271,1,0,0
6.476,6.59,6.37,6.48,0.078903196,1,0,0
6.495333333,6.65,6.37,6.49,0.094178149,1,0,0
6.492666667,6.66,6.37,6.45,0.090274713,1,0,0
6.501333333,6.66,6.38,6.5,0.081052599,1,0,0
6.495333333,6.6,6.41,6.46,0.071400947,1,0,0
6.486,6.63,6.38,6.49,0.070488094,1,0,0
6.484666667,6.61,6.4,6.46,0.067067841,1,0,0
6.486666667,6.59,6.39,6.47,0.067577116,1,0,0
6.473333333,6.61,6.4,6.47,0.058513328,1,0,0
6.472,6.59,6.39,6.46,0.063718129,1,0,0
6.484,6.65,6.38,6.45,0.091713841,1,0,0
6.488,6.66,6.37,6.48,0.100299551,1,0,0
6.475333333,6.59,6.38,6.51,0.082016259,1,0,0
6.48,6.65,6.38,6.49,0.082807867,1,0,0
6.492,6.63,6.39,6.46,0.076830054,1,0,0
6.507333333,6.61,6.41,6.48,0.075068223,1,0,0
6.493333333,6.63,6.39,6.51,0.07441838,1,0,0
6.485333333,6.57,6.39,6.45,0.061396448,1,0,0
6.503333333,6.65,6.38,6.49,0.079522384,1,0,0
6.485333333,6.66,6.38,6.49,0.088387674,1,0,0
6.470666667,6.64,6.37,6.46,0.090432822,1,0,0
6.485333333,6.59,6.38,6.45,0.086838657,1,0,0
6.487333333,6.65,6.4,6.45,0.079234432,1,0,0
6.474,6.57,6.39,6.48,0.055523483,1,0,0
6.494666667,6.63,6.4,6.47,0.076705994,1,0,0
6.482666667,6.63,6.39,6.48,0.077686795,1,0,0
6.495333333,6.59,6.41,6.49,0.061860057,1,0,0
6.485333333,6.59,6.4,6.47,0.059385745,1,0,0
6.480666667,6.6,6.38,6.47,0.083961442,1,0,0
6.476666667,6.65,6.38,6.5,0.079880864,1,0,0
6.498,6.64,6.41,6.52,0.06667619,1,0,0
6.496,6.63,6.39,6.47,0.068222326,1,0,0
6.482,6.63,6.37,6.47,0.073795083,1,0,0
6.481333333,6.62,6.4,6.47,0.073762812,1,0,0
6.484,6.63,6.39,6.46,0.075762788,1,0,0
6.498666667,6.66,6.39,6.5,0.083226598,1,0,0
6.5,6.66,6.39,6.47,0.076531973,1,0,0
6.484666667,6.63,6.37,6.47,0.076238973,1,0,0
6.481333333,6.58,6.41,6.45,0.066640471,1,0,0
6.493333333,6.62,6.38,6.48,0.076687368,1,0,0
